#{"t_start": 1760896808.834667, "env_id": "Hopper-v5"}
r,l,t
627.243116,202,63.150708
718.978075,220,63.19938
576.938611,184,63.241343
629.723046,200,63.304268
591.217701,173,63.343422
591.756495,188,63.385708
726.813534,223,63.437634
693.065906,218,63.487464
644.182253,198,63.898404
629.640533,205,63.944133
664.029125,213,63.991851
742.540397,247,64.047906
596.82912,188,64.090033
909.633689,327,64.164285
710.148929,231,64.21624
615.889603,180,64.256775
828.19342,250,64.312875
738.347967,249,64.711967
648.650508,200,64.756992
682.246644,199,64.801371
375.380329,133,64.831383
615.400516,185,64.872684
755.985923,230,64.925077
671.366849,214,64.974833
531.146174,167,65.013902
586.182583,197,65.059394
681.902132,205,65.106282
644.306542,204,65.529938
765.064053,235,65.587302
707.95438,224,65.640531
729.838817,232,65.693082
667.807813,199,65.737764
690.208863,216,65.785566
674.032762,218,65.834022
674.588764,202,65.879123
599.266763,188,65.921229
583.88894,188,65.963301
732.370912,240,66.390579
1048.731073,326,66.467152
974.38884,304,66.538639
579.438211,176,66.579088
458.790476,153,66.614033
729.428027,236,66.667682
614.899611,186,66.7097
646.530605,202,66.755756
754.960282,238,66.810849
987.780532,320,67.415025
723.915546,231,67.466881
557.34322,190,67.509573
640.265032,204,67.555233
671.776556,216,67.603563
663.842861,210,67.651094
737.823239,241,67.706835
790.294243,239,67.762436
