#{"t_start": 1760907604.3554823, "env_id": "Humanoid-v5"}
r,l,t
622.602054,116,51.374831
431.71774,85,51.411214
436.465449,97,51.454689
439.19508,94,51.495164
577.597462,113,51.546214
609.03924,113,51.596136
401.703833,76,51.629304
447.331871,86,51.666543
527.61192,101,51.712019
453.888932,92,51.75197
448.958824,85,51.789521
492.664313,98,51.83292
524.757909,105,51.879451
554.148136,105,51.925268
432.616216,93,51.965834
299.251686,65,51.993418
457.446326,93,52.032927
408.529477,76,52.066386
512.528064,106,52.113149
467.809615,91,52.15344
766.0443,147,52.64854
326.163482,73,52.681075
385.241089,72,52.712657
565.16707,107,52.759584
406.581978,90,52.798567
316.471102,60,52.823452
348.273805,78,52.858029
333.264526,63,52.885319
574.076934,107,52.933281
489.884127,99,52.977654
546.497067,103,53.021891
404.246757,83,53.058429
321.363103,61,53.085611
418.683437,81,53.122895
310.095093,60,53.149756
630.672101,117,53.20243
509.359771,94,53.244192
616.96081,117,53.295885
339.908311,68,53.325101
608.261966,128,53.380821
450.433183,97,53.421122
463.747105,89,53.460981
396.592882,81,53.495335
363.88139,82,54.010655
490.969679,98,54.054142
424.006171,79,54.095198
376.69849,71,54.124728
770.68531,148,54.190516
455.534534,84,54.227147
461.951068,102,54.274264
500.718657,101,54.319381
611.965425,127,54.375333
557.397724,106,54.422073
536.585371,102,54.463785
447.636908,84,54.500185
499.947626,97,54.543037
502.139784,105,54.589022
330.152435,65,54.61649
372.886476,77,54.650224
386.117941,81,54.685509
473.866669,98,54.728404
712.448014,134,54.78721
549.888688,106,54.833323
365.287894,68,54.863012
625.570351,117,55.444805
547.478857,105,55.501892
280.202263,53,55.544962
262.181585,57,55.569482
756.928764,142,55.631964
569.099036,112,55.680552
399.954925,76,55.715497
388.193992,72,55.747103
391.103083,90,55.787479
639.55893,124,55.842703
577.167318,109,55.88923
684.49997,130,55.947152
372.817745,71,55.978321
527.102474,100,56.021253
428.043262,80,56.055351
351.089622,74,56.08638
472.56232,98,56.129338
392.664721,81,56.165499
370.513543,70,56.195545
483.906636,102,56.239206
362.282245,68,56.268128
397.121256,76,56.30124
352.108953,66,56.328987
528.236854,96,57.015881
328.368775,63,57.043859
411.515299,81,57.083862
404.336417,84,57.129309
455.578091,89,57.167355
439.767292,94,57.206884
470.82476,95,57.248266
311.49693,60,57.273324
928.993538,176,57.350627
241.977098,52,57.371801
292.108795,56,57.395777
477.624116,89,57.434635
366.671246,76,57.467577
568.567115,107,57.514283
468.245526,86,57.551837
291.246676,65,57.579108
626.333816,124,57.632674
449.014284,92,57.673395
432.98315,87,57.712413
404.496529,79,57.748097
332.929915,74,57.779225
352.711046,71,57.809726
434.115568,80,57.845107
543.375255,103,57.890279
336.293994,69,58.46567
419.6267,79,58.500739
311.417755,62,58.542054
389.689958,73,58.574246
717.511318,144,58.656163
400.18302,76,58.690742
389.123342,84,58.728511
422.872524,80,58.763291
499.901116,93,58.804223
393.858424,78,58.837835
486.235662,89,58.87668
415.998817,77,58.909781
409.147508,79,58.943987
525.866016,97,58.986647
669.910072,125,59.04058
389.4854,74,59.072381
623.40599,115,59.122265
447.667996,84,59.158954
433.001775,95,59.200217
526.321173,103,59.244995
459.276256,89,59.28278
388.395954,71,59.312507
431.305507,83,59.347564
309.540196,62,60.082316
368.435765,71,60.112909
346.253359,67,60.141657
364.350984,69,60.188321
644.396761,121,60.2412
401.670704,76,60.279451
362.901979,68,60.309114
322.57147,62,60.335303
406.832102,90,60.374763
505.354232,94,60.41708
751.797658,148,60.481972
429.149762,79,60.516751
467.433575,88,60.555379
322.413743,61,60.581417
363.836189,69,60.611482
506.786674,92,60.65127
731.141544,146,60.715728
363.794291,77,60.748752
455.552168,97,60.792567
1003.084507,189,60.876137
479.783847,90,60.914234
446.70714,82,60.951261
719.876796,137,61.56834
531.743565,113,61.617962
374.937644,81,61.656348
396.492461,75,61.692754
308.04496,61,61.718005
471.915423,91,61.757513
431.627622,93,61.797744
354.195995,77,61.831569
802.029794,161,61.906956
695.875715,145,61.974033
467.570726,87,62.013048
546.596334,111,62.066137
596.302902,120,62.123005
310.621757,70,62.155899
719.204251,137,62.216549
439.46991,88,62.253799
383.222872,72,62.28453
346.068431,65,62.314854
435.842892,81,62.349957
338.057547,73,62.381787
339.565679,73,62.414915
421.862762,81,62.451481
789.508941,153,63.036512
420.841029,89,63.075842
367.606414,74,63.108426
519.580383,114,63.155447
276.670017,52,63.177553
358.544524,70,63.206778
540.023876,102,63.251182
448.289642,87,63.289917
322.620122,71,63.319509
563.524787,104,63.363394
463.269019,87,63.401875
666.619567,126,63.456805
453.543824,84,63.491209
509.545004,107,63.538525
313.297239,73,63.571419
414.435688,78,63.605223
348.359231,71,63.635923
672.925389,131,63.693176
759.123167,151,63.757689
815.401144,170,63.835375
360.68562,69,63.866437
412.554178,77,64.443323
377.077075,71,64.473468
471.473301,86,64.50913
297.936503,57,64.533487
526.910073,97,64.578937
498.713271,93,64.619533
469.641048,98,64.662442
578.217694,118,64.713577
275.272308,60,64.739543
354.835354,76,64.771508
562.784649,109,64.818403
533.436004,104,64.862494
357.471658,75,64.894382
383.695918,72,64.924551
400.643965,87,64.961998
266.717547,53,64.985503
587.890246,112,65.035213
454.367357,84,65.069464
484.545637,105,65.115216
400.92896,73,65.145117
553.40747,113,65.19913
332.715822,62,65.22497
640.095402,119,65.27789
401.923874,77,65.777669
543.327372,105,65.825072
359.153525,76,65.864652
466.66829,89,65.905166
417.591748,80,65.940165
403.307403,76,65.973799
350.747977,74,66.011918
305.899749,69,66.040905
455.82958,85,66.078085
387.489103,72,66.107862
383.479427,74,66.139815
429.187192,91,66.180924
371.589926,71,66.210474
628.340402,122,66.263673
622.945562,117,66.315228
515.085886,110,66.363667
237.928337,54,66.385885
336.788301,73,66.416903
395.260234,74,66.448808
609.281579,116,66.499458
614.559826,114,66.546535
765.889373,158,66.61618
560.577641,112,66.66461
296.979871,62,67.337965
418.636047,85,67.385421
390.114658,75,67.419106
501.498564,92,67.459041
397.972187,74,67.491452
365.122719,75,67.523487
524.323431,102,67.568187
268.97539,60,67.59397
444.17801,96,67.636017
336.917799,65,67.665253
378.930727,73,67.698269
548.007121,113,67.749866
449.011597,84,67.786618
452.741791,84,67.822021
439.473114,90,67.861522
379.64248,75,67.892989
459.772481,87,67.930943
453.222924,101,67.977173
438.92132,81,68.012004
429.703746,81,68.045844
530.494883,99,68.088557
